user_id,friend
Q5jOFJYhIsN8ouJ1rnsLQQ,Txw2jX2lOtayJOiMvvTW8A
ztVQFPr9khc_TjsBny-3rA,2980OkLYJOA6KIaC1-82TQ
sVr6_v-lwixu3VREOO9XpA,8Ldrd41aJRcPrwIJzuAojg
DnadiXc6s8q1evT6rUfZ1Q,HLZy5Iun2vQdL1Qjj35iYQ
yIEFxSsZ7tzrKWi4BkjhCg,f67Wwhq-y8HuMnFFZ4LEGg
Nu6dMbAr_-DN6QTqMHydmg,Wx7cbLDqYEL3_aVZwh82Ww
Vc4QSYKAOf8NXriGXo919Q,HqAKhMOJP69DU7NZ6ZFgoA
MzL2FOFRYC7-TliJbTlIig,FaYXjGgLtetpCCiKmEsq9g
SH8-eeFCJIgVHiEhNlV3xg,83T8Hu6AOgKkFvbqhSPTiA
-GQH3Eif2qCP07v0wFC1Pg,Vwslifegl59fQVOe5BH1gw
ABy_uGiyQ7zlndwnodvFaw,wk-02IN9AXISrEikGVh1tg
EmLDYgzmZFXok6ju4LHVRQ,t0rFBojfJ3VHp3cJ5jiyPA
9SmZsp2AaXhXr4tinaoeAg,UqVnFtX7ORbDhMW6Pd77Jw
yFOhA0a7toBwUffjC68FrA,i4kbT_mM59WjhQ5wfizu8g
C0bn6f7mqw_JZuHQ0Y3-_Q,qRWzBX1q07ZuPgaTXB_4JA
2OTcrIMxJ1c05Dp2i6sicw,d2AHhd-JS5ZxQa1JYqHxFA
WDsr8RnPqbceR3s2yZYr3Q,FqYYd3p-phMkZ5GVjkUzxg
I1Kn2D6aS__ik2GJnoPLIQ,4qWYQFByYk7GXaoKKX8EHQ
Kh34OUwUgLGSRguPV_MPdw,ztVQFPr9khc_TjsBny-3rA
8eEHKw_Ck5jEZSO6Qt146A,bE7Yd0jI_P6g27MWEKKalA
2T8ZGt1RsCrcJEZcRfsylg,ztVQFPr9khc_TjsBny-3rA
NoB_mtbwrz4aZ2-z5Tpfdg,jVYzrVblDFSuL3GHtt8ZSA
_9Nr_RrFuqmQ7n7vfkXRfw,WQhgAg8ovchnA1FZCpbyWA
7lQr595yf07nYmgQ-DChgA,yFOhA0a7toBwUffjC68FrA
lAW03ccfMEuRZiDqvVgc0w,o-VOxSa-TtD9DiLFso2YSw
WQhgAg8ovchnA1FZCpbyWA,O9NWKYmL0wGDL9Cpi6KfYQ
758g6NGLp9deCbvowz62Ww,a61H0zLDVXziFzVw2U7akg
s2ssYMg-ozUOE1qGb6Pkng,NoB_mtbwrz4aZ2-z5Tpfdg
r3QexFIhBXBT99canAgVEg,t0rFBojfJ3VHp3cJ5jiyPA
TzSlEtNV-OhgAdpy-Qd4yA,MVJx4vJwXqV7Ln-7D6qBeg
tq9Zl18Ml5gwyMRj7ojpGw,_34hHM4F_QuDUXYOAtqAaw
Txw2jX2lOtayJOiMvvTW8A,QIRkA1xNLmzTlCOnq5zpWw
G3h8pIclwUbuu3itJqF7ug,om5ZiponkpRqUNa3pVPiRg
4qWYQFByYk7GXaoKKX8EHQ,xlzE7EJE5RxGpL-luI0vDw
2XPFAxICeBIAZC74z5qAEw,V2mjs_J_GzkC9sMk1WiXSA
4QFfTO_tKOZYFE-7zTPjbg,_9Nr_RrFuqmQ7n7vfkXRfw
6wocuUpx9sq87Mqfvx3bZg,sVr6_v-lwixu3VREOO9XpA
3BAY17m5WIJZE_sZfJZqHA,X41DpSolOsayZaHj9jdWKw
wfi0T-xq_P5sKQvwQitlYg,O9NWKYmL0wGDL9Cpi6KfYQ
xhtWQRWNgXHp2GeLLrj9Pw,qF0zZHtqaMbFF3UePDCaHg
bcCHgqnuRQuOchZQF7NGeQ,dIIKEfOgo0KqUfGQvGikPg
T4RELLhPM1fkqT4ZNh77pQ,KQy1M8kkJKhg0546UGG88w
-cefE54dkMI9cJ8kWudebg,X41DpSolOsayZaHj9jdWKw
O9NWKYmL0wGDL9Cpi6KfYQ,Jv9Sb_Er-TvnTOO-Ij6b_A
2LLDDR6AJWBSvtTsXgKu7A,MVJx4vJwXqV7Ln-7D6qBeg
Zsucq1c-sjuGxs5jZuUEEg,t0rFBojfJ3VHp3cJ5jiyPA
O2bDLdyNdbBwPabAbblwZA,CWbiXp-bXCIpaCCL6bkOjQ
8ZJW1JgnY5B55ZfMDNA0gg,sVr6_v-lwixu3VREOO9XpA
NrgJ-4n6ZtSm4wMLroEayA,jVYzrVblDFSuL3GHtt8ZSA
XNrPhwfI6RQWvh1c7BMEfw,w171mA7wzYhViSzc5hkydA
VvJzTulR17HDj7PDyc789g,G3h8pIclwUbuu3itJqF7ug
9nafgUuDMI2wZjul_-vXCw,6wocuUpx9sq87Mqfvx3bZg
w2Rfz-EcgVEZcdY52KqL2w,G3h8pIclwUbuu3itJqF7ug
IlJx9kYbg7BGrQ14ZVJayw,XmRPxcaYF2-1eGWr1zTYCg
4UU2qHHNFDlrktj78O354Q,r3QexFIhBXBT99canAgVEg
ikIbEFVQ-vGw_T0j0KiWbQ,7jTpVhx0Uzrh4JeaIsbV5A
vi0t612Xq4x5HDbZU_HfHQ,4QFfTO_tKOZYFE-7zTPjbg
-g8nkLX6PGNDSgoy4YzjFA,Vwslifegl59fQVOe5BH1gw
5-XjAgO8Hc7qzYwQhQydkA,Zsucq1c-sjuGxs5jZuUEEg
kOdDOvhde6T17Ji1YVy6Mg,MVJx4vJwXqV7Ln-7D6qBeg
Uts3hEsymbEN4JiJvmCqUQ,Wx7cbLDqYEL3_aVZwh82Ww
zPNrEv30Piqoig3YG4en2g,jub2sDiPTv86p2owPHuc5Q
Pn84Dl915kwIFIyfty5_cA,AMvXYw0GFOf5Q29EDoajuA
7oTJxm4VE7PnF9dpj6xtMw,e3zg1fh3u-EVU-LUPq6h3g
l9be6lRlJhumEM8ruMMJ7g,PE5ZjPB8eqla8nrU04jIZQ
WKqfJbGAEn9DL9GIgPLnag,qO9zlFWNHoOxkueEu4Fswg
7qFH1RkPivVRcwxLwhyixg,vi0t612Xq4x5HDbZU_HfHQ
pqlhSMKdopMzWfyELJ1T5w,To0jFSrHSn6gXUttp7gUTA
sTP0_RvfdtpXhnJmljd41w,O2bDLdyNdbBwPabAbblwZA
8Ldrd41aJRcPrwIJzuAojg,sVr6_v-lwixu3VREOO9XpA
ic8nO152kbB8OxCr3ApEaA,Vwslifegl59fQVOe5BH1gw
QHor74ePSx5jZlyNqb_mow,-cefE54dkMI9cJ8kWudebg
KQy1M8kkJKhg0546UGG88w,FTx1SZDh8XIWmlXfFynYUA
ud4I38ETpB9IIFokDtxu0A,yFOhA0a7toBwUffjC68FrA
moNh483qY4qG7vN8e4KAPw,G3h8pIclwUbuu3itJqF7ug
XCQImV-NwKY6odkwNl6dKQ,ubvd4l5iKSyIVsLEhS9Vmg
UPkYERQ8rAoGtXRr9zrfbQ,0Z3m2wRdM1GfnLYYiD2L9w
x8kKSYuDhr0we7Vd7v44SA,sVr6_v-lwixu3VREOO9XpA
aXf5dzHM1n8VEFH3EEaamg,Vwslifegl59fQVOe5BH1gw
oISg87AAT15hm8JUZkc6cg,MVJx4vJwXqV7Ln-7D6qBeg
rhGwRzGQf1s8HKXRKurbqA,WQhgAg8ovchnA1FZCpbyWA
4gBxLpl8B9cBpT2qeBHpmA,T2vt3ErX8GFjo9jvmnjnqQ
y9Z1goRUMW8H9GqBhXp15Q,sVr6_v-lwixu3VREOO9XpA
kQfkiWGBU4PkPyczpMe-9w,dboAKYo-6jWm0QkoU4Gw_A
EWG-lEyBtz5F-aiV2v-OHQ,QHor74ePSx5jZlyNqb_mow
CXY3I1G_nPTQk6KSUXyWrw,oUK6Xs5dPPnP4whFeZExGg
CzV4FlITtTjnq8dyiXiGkQ,o-UlLW2RiO8y8uWVwlG3Sw
wPWOgajQdP0dZjW0UjjQqA,O9NWKYmL0wGDL9Cpi6KfYQ
yk4RXXV2gd87ZD7zj5fO4Q,Vwslifegl59fQVOe5BH1gw
IHR7HRQINN74foxbztPSGQ,_KeuaQCbJsZ7cipYpBPxDQ
BycWZFxhqenGiFavZPTmHg,NrgJ-4n6ZtSm4wMLroEayA
wGVW2Lhli0oUlVKbeVCVjg,NoB_mtbwrz4aZ2-z5Tpfdg
WEEDcjA_tH8ctnrsJQQ5wA,G3h8pIclwUbuu3itJqF7ug
W7iLDP6GY4joKZ1zSCOEfA,qO9zlFWNHoOxkueEu4Fswg
EiQ2OMewi-ZVmAZqICUd6g,sVr6_v-lwixu3VREOO9XpA
FrXJchrwolMmp_LjZxpFhg,Vwslifegl59fQVOe5BH1gw
ZUcqv1HJx_rDhQ0Nz0UKig,HrjHJGInGoxqGuyI5N1LAg
R6M5aafvjMWxOaIzhAd44w,t0rFBojfJ3VHp3cJ5jiyPA
nC9V777rlZbKWm3m0QlXYg,TIeXcKbDeGBy-UsgSjRJQg
1WjGPhu3aJ9GUE3ivIPsKg,yFOhA0a7toBwUffjC68FrA
BnGdFKbtjprzR0ny3H5opQ,Vwslifegl59fQVOe5BH1gw
JQXuHs2bpz6xZa-HrCZ4PQ,gEmiE5STj_1UwU1h6Qeagw
Y57v2xdkOzcfApWHN4qXfA,r3QexFIhBXBT99canAgVEg
yS07jpW9k0nvk05gCTF-hQ,Vwslifegl59fQVOe5BH1gw
0C4ccDiZlnW68ULoDKE3NA,Vc4QSYKAOf8NXriGXo919Q
VJux1Khhnh6Dd9YJRIsjRg,Vwslifegl59fQVOe5BH1gw
wRvMz57Aa_6znY65lSqkzw,Vwslifegl59fQVOe5BH1gw
KyDNjtPbdRA-JEcxM1G--g,Vwslifegl59fQVOe5BH1gw
49fSdAzW898SilNT5QwejA,G3h8pIclwUbuu3itJqF7ug
xvgkRbNsXne8suKvI-yCmA,dIIKEfOgo0KqUfGQvGikPg
2nB5yGCvpnoFLanvMB3Dgw,yFOhA0a7toBwUffjC68FrA
TCQUuWYCNoDBEGHUvT1WCw,s2ssYMg-ozUOE1qGb6Pkng
qXt7Y9eELdzt07qaFUtv3Q,t0rFBojfJ3VHp3cJ5jiyPA
TFUwyCWSqqEmoaL2qXUvmA,Vwslifegl59fQVOe5BH1gw
p4fbGomLqeFnxjxVmbXbbw,t0rFBojfJ3VHp3cJ5jiyPA
m45eyfoVi09DaZKD7e3Apg,Vmm1Zoo5GNBLxptYz4SmRw
IEUQvQAsIWn22G12xVOLIQ,Vwslifegl59fQVOe5BH1gw
m0YelMFseftNze34--XjTQ,yFOhA0a7toBwUffjC68FrA
N0duXRMkI3zKTDUEBai_Yg,jVYzrVblDFSuL3GHtt8ZSA
FycFs46mqYctTX6bfKoJcw,Vwslifegl59fQVOe5BH1gw
iR-m5rhCptOBgM7PtF9e2A,G3h8pIclwUbuu3itJqF7ug
RBkjxDHqhcocvNjoStQLng,O9NWKYmL0wGDL9Cpi6KfYQ
y9ny5Al52eLS4xwNE1unqg,M9Q7NsaoRGsiaKvFNeqYVA
L1N7N81E3bDbmLX-dKbnyg,Vwslifegl59fQVOe5BH1gw
9e2HrYc8KAfQwwc1a_QRAA,Vwslifegl59fQVOe5BH1gw
OPtv-lFAgcddoUuHCcTHUQ,oUK6Xs5dPPnP4whFeZExGg
L7EPpzenzWgutMURVxp8rA,G3h8pIclwUbuu3itJqF7ug
klm0BR4IQgU0sdO-_1UuKg,sVr6_v-lwixu3VREOO9XpA
BrfXyfYUmkxGgzEqvR4tcg,O9NWKYmL0wGDL9Cpi6KfYQ
-Oer2os7LrtAagVuWSN1AQ,yS07jpW9k0nvk05gCTF-hQ
IBRuUz-Dtzz65S0NVajkLA,yk4RXXV2gd87ZD7zj5fO4Q
1nHoRG1yybz5GpXreQiarw,oUK6Xs5dPPnP4whFeZExGg
2hCaAfDQ3PGlzAjmvfk_lg,G3h8pIclwUbuu3itJqF7ug
f67Wwhq-y8HuMnFFZ4LEGg,yIEFxSsZ7tzrKWi4BkjhCg
qpa9Dmi7YY3zvnLLKKDDjg,9bcFzhy96znoZGpZnjChJw
vht8BXMLEFOVNw641-RfAw,UPkYERQ8rAoGtXRr9zrfbQ
M4_GblxPdGg4-HP6xjlpEg,hRWYO7jcmFDCWDrfPyG0kA
tvwJ_6uCXe43vkUFbDUSIw,-Oer2os7LrtAagVuWSN1AQ
44pt58UeABy7uN3sBAkd9A,fVjUXbLhG57TraA-IeGZhg
LqOAgmXiJoPV4HEsKjfDRQ,hDVoaYpNrfn8s-7L1IUErQ
uVRumIjYImzUFc6tr5MnuQ,PpSuSilXtkYr0weG9qt6aA
o4R-lVdYPEvsnWVvoLFl6w,Vwslifegl59fQVOe5BH1gw
xC-q_yh0XwcjRLimkS3RNg,Vwslifegl59fQVOe5BH1gw
mQArzHWp-45FKawUWNQl8g,WPVaxI9MQpaeoikOozY2Dg
sIUhZZ86cjw2Jst5URsBhQ,G3h8pIclwUbuu3itJqF7ug
3bmrUjk1EiS8zxUeUzGQVw,Vwslifegl59fQVOe5BH1gw
mgSRNYeCfm4XnUigZsvkjw,G3h8pIclwUbuu3itJqF7ug
LJ6JKNX4GOv9Lm3Ga8j2xA,sVr6_v-lwixu3VREOO9XpA
vNKxFaNzzNMf94PQ2M5yAA,Vwslifegl59fQVOe5BH1gw
WPdkJN1FLiNDVDWRN5MLaw,2nB5yGCvpnoFLanvMB3Dgw
TIeXcKbDeGBy-UsgSjRJQg,Z8-W8i8_ZHJth24R_wBnLQ
D6nfRKxQeYJ9IyVQYomBzw,Wx7cbLDqYEL3_aVZwh82Ww
jaOqOj-4P2LfBPyeJHp3Tw,TIeXcKbDeGBy-UsgSjRJQg
_-hsyfuQT9w0e3-ztdwTUA,Vwslifegl59fQVOe5BH1gw
OtqdOQ2cwOsO5xwTeBxlsw,Vwslifegl59fQVOe5BH1gw
wWMUhdKigq4eRIjhXi8IDQ,KXOPsCpXwH2jYB6yFDUsug
VPgi1dL2MPSLcc2g1jcXKA,MVJx4vJwXqV7Ln-7D6qBeg
QYxywQOPiK9dxBxahEMORg,G3h8pIclwUbuu3itJqF7ug
hnGtITMmTwwv-AbcG4P8YA,um_9bkWE0iXipxLhU7d97w
q3BcLr2yRVyGMHsH5V_q6g,vi0t612Xq4x5HDbZU_HfHQ
bYLr7fu0IhZr59pr6THuQA,yFOhA0a7toBwUffjC68FrA
YKCRrpjUv3LroNC86g8ezg,yFOhA0a7toBwUffjC68FrA
h1KzT38UnfzR7maSi7oVUw,djxnI8Ux8ZYQJhiOQkrRhA
tm9hRFYLlOEfRuih7qS6Kg,lAW03ccfMEuRZiDqvVgc0w
FmP7141bhA6szl3rcCNG7w,G3h8pIclwUbuu3itJqF7ug
QGvAB1VnJbrRknEjddTA5A,Vwslifegl59fQVOe5BH1gw
RK4_3WzgzGkxp6M8duknrw,MVJx4vJwXqV7Ln-7D6qBeg
5SbzzHwr1_S6BTG29JFrAw,eJmpijAzyuYG6kWEl_BG2w
f7ZldJ_VkOPom2QM5N4xjQ,t0rFBojfJ3VHp3cJ5jiyPA
3oT-wLj8vNBhWGKlCvfCxA,Vwslifegl59fQVOe5BH1gw
eSSMdkCnfVe1YEU8hcK5bg,umtgodwJQ4e7MUxtZ4MEJw
GMmRtac1bTWyFox46B3OOw,YmgVcDWz7hUkbnSP0-N3cA
7vL-LrMQaCYZSlXS8OVwnA,3k7GJ9_zqE14Z3IZ9M4iSA
BVmAojdRU_EGCjUhmuqWZg,Vwslifegl59fQVOe5BH1gw
aD3jY0fwUoMAAOzJiQ-gDw,IEc6gWVPXFxjixKHoDaLKg
vU4bg_LGoDkFVs23U1FTBQ,I1Kn2D6aS__ik2GJnoPLIQ
Y2XqSOuYWsc50QoI2vYIiA,758g6NGLp9deCbvowz62Ww
9nuyXYy7ruTgIItSM9shWg,ABy_uGiyQ7zlndwnodvFaw
RcP65LYzT08PnYBdtrkvaw,bcCHgqnuRQuOchZQF7NGeQ
3PfNEQ6cvojdeuIAaAsyag,G3h8pIclwUbuu3itJqF7ug
4BmQnHAMfP3yCtr6F2s9eA,_0euf-z6-Rb7PwUTdC50Dg
TnLphMznMGlAZX6I4aMyXQ,G3h8pIclwUbuu3itJqF7ug
uxgU5qcy3Gid6mLTXmv3Zg,jVYzrVblDFSuL3GHtt8ZSA
kkPgJv6KBFN15caG7NYYlg,Vwslifegl59fQVOe5BH1gw
nK_veNgiZVhHLOndzvF38g,FOfvCOaFZVOa_GIsViSPSA
TA_4YikWf6DspKV9koFtCw,G3h8pIclwUbuu3itJqF7ug
1NnUxtAIFmXa-0LLMGtkEg,Vwslifegl59fQVOe5BH1gw
VcqaqW12nNUkZ7QROiuIAQ,NoB_mtbwrz4aZ2-z5Tpfdg
bSZ7elAZQEAebum1jGO73w,Ve2f4hpzg_R0q56FlEc_HQ
MYiKA9TKethFvYtDt0WOFw,oUK6Xs5dPPnP4whFeZExGg
53nGI1NRA78AbfBrGxOlKQ,Vwslifegl59fQVOe5BH1gw
hzpc3LmIE8aWSRNyCfYCJA,V2mjs_J_GzkC9sMk1WiXSA
t_xjVte-iQ77znLAo6vKdg,NmMzIHvic4dW4aEZVhZ1PQ
hqAr5h90By9XhU0JJaGqcQ,K2Efx0k-ate_qfvuRbP5Yw
TWSdm2CNDOeZt_niE7pH9A,oUK6Xs5dPPnP4whFeZExGg
